index,sim_idx,hdgrid,avg_msc0,avg_msc1,avg_delays0,avg_delays1,instant_delays0,instant_delays1,vol0_dep,vol1_dep,density0,density1,logsum,time
1,1,5.0,-0.05742561317263282,-0.5903164810735184,2.092288547111424,1.782305943679555,2.091947840118865,1.778455712086153,0.014532183901042205,0.04431718693833951,0.014532183901042205,0.04431718693833951,-387.34629086721316,37.437560970267256
2,1,5.083333333333333,-0.0739693988433646,-0.8353806840400217,2.092465584032844,1.7848406922268127,2.092196617142214,1.7805738140697676,0.03752614690814997,0.24576906764359713,0.05205833080919217,0.29008625458193665,-387.34629086721316,37.437560970267256
3,1,5.166666666666667,-0.08624643103085772,-1.1039201458287224,2.0926026189475246,1.7875526460657607,2.0924203587945143,1.784519389051265,0.03374974907513459,0.4578156727212084,0.08580807988432676,0.7479019273031451,-387.34629086721316,37.437560970267256
4,1,5.25,-0.09305611229930504,-1.2702247554046016,2.0926894507399614,1.7894176583888557,2.0926915622601223,1.7879390657619147,0.04090900749404,0.3967942830450252,0.1267170872974695,1.144696209788426,-387.34629086721316,37.437560970267256
5,1,5.333333333333333,-0.09159219242006057,-1.344792933204548,2.0926797994501163,1.7901995551847716,2.092832217281766,1.7916550652267629,0.021216755852903117,0.45484581068541047,0.14793384170070023,1.5758736181025326,-387.34629086721316,37.437560970267256
6,1,5.416666666666667,-0.082903776034868,-1.2517933967443,2.092595712245168,1.789172639076491,2.0927954247159257,1.791868416385634,0.006454707983608444,0.17462587570271712,0.14238395927079603,1.6006293266576765,-387.34629086721316,37.437560970267256
7,1,5.5,-0.07146755947242271,-1.0674368361023234,2.0924938757549327,1.7874457886933908,2.0926096108384704,1.789330280038428,0.005483937412981751,0.05951343040813147,0.11435533038424855,1.3061225425505905,-387.34629086721316,37.437560970267256
8,1,5.583333333333333,-0.062600406938964,-0.9104749320785253,2.092430891411462,1.78626451167093,2.092608575823386,1.7869658426037196,0.0342508346031431,0.15064610613469667,0.1141992061265268,1.0317705102474433,-387.34629086721316,37.437560970267256
9,1,5.666666666666667,-0.054390750462257234,-0.8129574874473542,2.0923374879391563,1.7857316520280828,2.0925453138847594,1.7882754676345143,0.030195066495606365,0.5794347417155823,0.10465661746363306,1.1837298234774387,-387.34629086721316,37.437560970267256
10,1,5.75,-0.044817509407980474,-0.643385701455762,2.092231763726083,1.7840942846493344,2.092411178361744,1.7869877525125841,0.0056515133731837655,0.16835082518959338,0.0844232804997968,1.034312775877449,-387.34629086721316,37.437560970267256
11,1,5.833333333333333,-0.03947367927903405,-0.47840780567123614,2.092143416325433,1.7822545136965149,2.092277708336844,1.7853715823700613,0.0009979483953142991,0.030181226502288196,0.06429032893216736,0.8467842091917908,-387.34629086721316,37.437560970267256
12,1,5.916666666666667,-0.03963459896189655,-0.3347765839925008,2.0920880826233823,1.7803913555431323,2.0920456170698536,1.7810360163185064,0.00022469621381442196,0.0055188896313099105,0.029281103144640337,0.343716824126796,-387.34629086721316,37.437560970267256
13,1,6.0,-0.051319391010039885,-0.3433177680106783,2.0921335181922904,1.7801081749086256,2.0918905282859344,1.7787400433919243,0.00039049348987618937,0.0018370100849494984,0.005887124027046022,0.07730891276733048,-387.34629086721316,37.437560970267256
14,1,6.083333333333333,-0.07824433733654076,-0.4883014163879846,2.0922860589956316,1.7811305773286152,2.0918776741867804,1.7782563390817068,0.0025496677402626895,0.0065341581260345005,0.003948179639276158,0.021183401221165223,-387.34629086721316,37.437560970267256
15,1,6.166666666666667,-0.12194330765393523,-0.7283024688954506,2.0925351256679243,1.7831342117046647,2.091972726453748,1.7785485386183115,0.015143904185702823,0.04522098055916187,0.01828610074696576,0.0550880990273931,-387.34629086721316,37.437560970267256
16,1,6.25,-0.19080087668664752,-1.0640468604483375,2.092884508952965,1.7861963626881134,2.092246556066506,1.7807195655005263,0.041457829616786936,0.2540394913458733,0.05959124274853317,0.3069981849433783,-387.34629086721316,37.437560970267256
17,1,6.333333333333333,-0.2889639536957775,-1.4794954608023432,2.0933013420403994,1.7897651599952424,2.0925766436373276,1.7852775442126905,0.04986294349822079,0.5297931634503699,0.1093824755097087,0.835872708971922,-387.34629086721316,37.437560970267256
18,1,6.416666666666667,-0.4428912139337251,-1.8973952709667443,2.093830753543986,1.7927140533002868,2.092835884745174,1.7904803006138803,0.039436318625012456,0.60766425368075,0.1484870510315925,1.4395625217330699,-387.34629086721316,37.437560970267256
19,1,6.5,-0.6924409289626391,-2.3055053541074826,2.0945975955047196,1.7943746944282188,2.0929388240463522,1.7929130433647238,0.017894694992819128,0.30991080769533147,0.16401467205801062,1.7218402035051539,-387.34629086721316,37.437560970267256
20,1,6.583333333333333,-1.0996658658708696,-2.8731712511004663,2.095831714791765,1.795844814708182,2.0930753035514615,1.7932531600416481,0.03526168470046629,0.19934862285044852,0.18460158112915517,1.7613048559271576,-387.34629086721316,37.437560970267256
21,1,6.666666666666667,-1.7523840683214178,-3.8706339647185097,2.0977999598714794,1.7983127357328093,2.093041730547849,1.7935898646067776,0.040509157109954404,0.4806830988349624,0.1795373454985565,1.8003735918442147,-387.34629086721316,37.437560970267256
22,1,6.75,-2.767950254936192,-5.564803471916338,2.1009991206654806,1.802314462941928,2.0936455557511744,1.797444689000281,0.14467596289810006,1.1651181091095872,0.2706198457302619,2.2476592298589164,-387.34629086721316,37.437560970267256
23,1,6.833333333333333,-4.280301006528327,-8.379245932603455,2.105828799780825,1.8074433294433765,2.0930739630507027,1.7881326887837825,0.05536337488310843,0.16113543903058286,0.18439937665012818,1.1671628095682662,-387.34629086721316,37.437560970267256
