run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7
1,0.06681670938136085,1,431.479476745,0,99.6242107409522,84.57767859753324,-2.2522527492030786,89.29553815378102,58.290842808014446,20.073206065059395,57.090266050046964
2,0.06677683276433087,1,411.164801003,0,97.52430450733273,85.58673566696744,-2.1029617955864786,85.37259797556275,59.08088463456422,18.529537377415352,56.79199564984106
3,0.06680993901902102,1,458.820952235,0,99.36756089476182,84.31678890605032,-1.3676714184934464,89.28332714334417,55.2435834243937,17.38510444173129,56.304927566188084
4,0.06676107808554088,1,212.08795564,0,95.51224506878769,86.1498774885924,-2.042645579992749,90.34891055043167,57.233280826034836,19.516605819021883,56.22334448350771
5,0.06678187456961597,1,231.258423488,0,95.77758405428742,86.77926548925261,-1.4539823590387502,88.86097850977843,56.699961804934496,19.997406124794775,56.801974284443745
6,0.06686613514202017,1,117.917213245,0,96.92606214822513,85.06862301617882,-3.5239335847978968,79.34006715923798,60.64435451210227,15.916699371028622,56.53570853522273
7,0.06677646478314846,1,290.246052259,0,98.0870777269921,84.77308758599297,-2.9782293685685834,84.20813881901253,59.39497247321994,18.82249447723092,56.850028419801205
8,0.06686463260533042,1,200.921914096,0,95.01629061363445,86.16517840850618,-2.2087901398660015,89.42852432086434,60.451125937481585,19.062541000432052,56.38054970873024
9,0.06677243323128122,1,213.235355332,0,99.39877718959056,84.57585133604395,-2.3450131360103614,84.9754574140245,59.6300354926406,19.025327606126176,57.06181250701419
10,0.06678523827548061,1,648.118696014,0,96.07891129718001,85.25097647438638,-3.170728974128436,86.56568946847992,60.63955871194385,19.075170569764055,56.51411087866203
11,0.06686753556274028,1,514.317257908,0,90.72038346361919,87.91416810147399,-3.6568251763282595,80.99363335042274,57.50239348286547,18.093377786611864,55.71997024806166
12,0.06677882371295049,1,471.085105605,0,98.66463898396883,84.76101372810393,-2.5330782862161567,84.25001713841266,60.06222211605498,18.847745456978238,56.963709638023985
13,0.06677773776506266,1,360.043098773,0,101.72058030921566,83.83013445006654,-1.839685847600133,85.40531365131746,59.1399033696191,18.692170868728596,57.362542705374146
14,0.06681670963660075,1,464.316746231,0,99.61476114978498,84.58098971741973,-2.253492064251872,89.2862522351169,58.28857253581532,20.07949020088668,57.08866373577334
15,0.0667640731409104,1,256.156446603,0,100.54247848492246,84.28957114101833,-1.8138971557108408,90.6075388783266,57.94489301202618,21.938634885212995,57.146908033020075
16,0.06681670937425237,1,458.003285503,0,99.62133192236013,84.57880749477059,-2.252436067603796,89.29620435740031,58.29098278352417,20.073254444515413,57.08979875770918
17,0.06680110369085489,1,115.965971279,0,96.17777667604051,85.9096505942755,-2.684792261722833,86.0522005985708,55.37315827248983,20.07678695691172,56.39441507018836
