index,sim_idx,hdgrid,avg_msc,avg_delays,instant_delays,vol_dep,density,logsum,time
1,1,5.0,-0.004501226948716888,2.091905770616535,2.0918527861334373,4.95228785872365e-10,4.95228785872365e-10,-368.50135649534036,35.21356676093791
2,1,5.083333333333333,-0.009201157299610267,2.0919491542964694,2.0918537277446108,9.905858284016652e-10,1.4858146142740302e-9,-368.50135649534036,35.21356676093791
3,1,5.166666666666667,-0.015766448152943424,2.092024379080351,2.091854920333747,2.016626103561707e-9,3.5024407178357366e-9,-368.50135649534036,35.21356676093791
4,1,5.25,-0.0273655271880921,2.092160977690326,2.091856581661513,4.228730462396113e-9,7.731171180231849e-9,-368.50135649534036,35.21356676093791
5,1,5.333333333333333,-0.04668000744769734,2.092407077785973,2.091859073486005,9.441010584920423e-9,1.7172181765152275e-8,-368.50135649534036,35.21356676093791
6,1,5.416666666666667,-0.08058241316491571,2.09284911189892,2.0918632819061314,2.438705490228139e-8,4.155898564409296e-8,-368.50135649534036,35.21356676093791
7,1,5.5,-0.14232120233338977,2.093585961413615,2.091871943747569,8.357098140450674e-8,1.2512809765308976e-7,-368.50135649534036,35.21356676093791
8,1,5.583333333333333,-0.23433999443433307,2.0947265178264844,2.0918935556616276,4.044059181166272e-7,5.295204801104179e-7,-368.50135649534036,35.21356676093791
9,1,5.666666666666667,-0.36413249722034124,2.096492249615753,2.091951836100573,2.4846122761921032e-6,3.014034782315782e-6,-368.50135649534036,35.21356676093791
10,1,5.75,-0.5505815148259541,2.0992192799894065,2.092109816837546,1.6964087769450056e-5,1.997741321331567e-5,-368.50135649534036,35.21356676093791
11,1,5.833333333333333,-0.8133488123704853,2.1033629621996712,2.0925353993948503,0.0001200568110118127,0.0001400290882961636,-368.50135649534036,35.21356676093791
12,1,5.916666666666667,-1.173966835031801,2.109521951566821,2.0936778654382806,0.0008586486284323431,0.0009986405172684792,-368.50135649534036,35.21356676093791
13,1,6.0,-1.6523033109072969,2.1183711645071885,2.0967374705577377,0.0061488211470527515,0.007147193062818471,-368.50135649534036,35.21356676093791
14,1,6.083333333333333,-2.262071959528751,2.130182578926461,2.104766167722268,0.042789196884875924,0.04993445289977768,-368.50135649534036,35.21356676093791
15,1,6.166666666666667,-2.9918347738212128,2.14358580735738,2.1224767326170513,0.23087654653824266,0.28079709763436966,-368.50135649534036,35.21356676093791
16,1,6.25,-3.711584687981,2.1545131389572734,2.1412225568880365,0.44905927433755927,0.7297576743744827,-368.50135649534036,35.21356676093791
17,1,6.333333333333333,-4.1910854854020805,2.1618299045376412,2.14892145154664,0.2460348256172973,0.9750992669897608,-368.50135649534036,35.21356676093791
18,1,6.416666666666667,-4.656078070883796,2.1691602535457255,2.156815237256943,0.29324481712082856,1.2635016829160812,-368.50135649534036,35.21356676093791
19,1,6.5,-5.232982066482543,2.1761372961985948,2.1669518026456798,0.4578349072852113,1.6885627197408226,-368.50135649534036,35.21356676093791
20,1,6.583333333333333,-5.790086805276712,2.1819676396333856,2.1677649077303895,0.2108036856543603,1.7253245290076136,-368.50135649534036,35.21356676093791
21,1,6.666666666666667,-6.458405414326915,2.1908880386221874,2.1624354201560214,0.14185771065688021,1.4915759499344854,-368.50135649534036,35.21356676093791
22,1,6.75,-7.5103663459611365,2.2068079978537405,2.172962829010632,0.7858807716986518,1.9696853605488194,-368.50135649534036,35.21356676093791
23,1,6.833333333333333,-8.91995567815616,2.226015213773122,2.173799939525339,0.3194559470895124,2.010551483832382,-368.50135649534036,35.21356676093791
24,1,6.916666666666667,-10.864173445348468,2.2550425563356966,2.1734483822250246,0.4646352865647637,1.9933380280354212,-368.50135649534036,35.21356676093791
25,1,7.0,-13.701915605196188,2.299385205881019,2.1827510448175316,1.4486026825005096,2.473758157099692,-368.50135649534036,35.21356676093791
26,1,7.083333333333333,-17.76057247705095,2.3601236912122143,2.233832525974428,3.873070406136545,6.035238574703827,-368.50135649534036,35.21356676093791
27,1,7.166666666666667,-22.326169427857913,2.42293263062514,2.3065374994012156,7.818031950086806,13.798798366403442,-368.50135649534036,35.21356676093791
28,1,7.25,-26.67032228266391,2.4791519046038686,2.3606770826717556,8.40452393601863,21.635902412294993,-368.50135649534036,35.21356676093791
29,1,7.333333333333333,-30.8334010738761,2.5349267464114797,2.4100143237957856,9.80000242819918,30.306283903794757,-368.50135649534036,35.21356676093791
30,1,7.416666666666667,-34.95122047403423,2.591613101184712,2.4759730536735773,14.903141961945995,44.17445253845562,-368.50135649534036,35.21356676093791
31,1,7.5,-39.35672944197884,2.642636887155733,2.5345501360757883,17.797799606821428,58.67460711069198,-368.50135649534036,35.21356676093791
32,1,7.583333333333333,-43.305506674675236,2.6900590681689702,2.5658934709951877,14.373527130397331,67.27712321974471,-368.50135649534036,35.21356676093791
33,1,7.666666666666667,-47.4395341209277,2.743220839845149,2.6112165945522134,17.59063656054021,80.75684410264503,-368.50135649534036,35.21356676093791
34,1,7.75,-51.79890999397796,2.7981910432585964,2.662264312669213,20.60202846547254,97.41197901986183,-368.50135649534036,35.21356676093791
35,1,7.833333333333333,-56.06413919220531,2.8533959163841627,2.7131868181251937,26.459886968483897,115.58085519535805,-368.50135649534036,35.21356676093791
36,1,7.916666666666667,-60.29071665846184,2.907862573822024,2.790740386053408,39.98797941511758,146.23458292658765,-368.50135649534036,35.21356676093791
37,1,8.0,-63.9444563676952,2.9527432381006067,2.8353629698602436,33.06490333119213,165.50425646721789,-368.50135649534036,35.21356676093791
