uidp,date,study_cycle,adetourtime,a_early,a_late,route_FE,is_long_route,has_long_route_pre,high_dttime,acharge_weekmean,max_cycle
L0204115017,2017-00-07,0,8.0,1,0,3,0.0,1,1,192,4
L0204115017,2017-00-10,0,8.0,1,0,4,0.0,1,1,192,4
L0204115017,2017-00-12,0,8.0,1,0,3,0.0,1,1,192,4
L0204115017,2017-00-17,0,8.0,1,0,3,0.0,1,1,192,4
L0204115017,2017-00-17,0,8.0,1,0,3,0.0,1,1,192,4
L0204115017,2017-00-21,0,8.0,1,0,3,0.0,1,1,192,4
L0204115017,2017-00-27,0,8.0,1,0,3,0.0,1,1,192,4
L0204115017,2017-00-28,0,8.0,1,0,4,0.0,1,1,192,4
L0204115017,2017-00-28,0,8.0,1,0,4,0.0,1,1,192,4
L0204115017,2017-00-28,0,8.0,1,0,3,0.0,1,1,192,4
L0204115017,2017-00-28,0,8.0,1,0,4,0.0,1,1,192,4
L0204115017,2017-00-12,0,8.0,1,0,3,0.0,1,1,192,4
L0204115017,2017-00-12,0,8.0,1,0,4,0.0,1,1,192,4
L0204115017,2017-00-15,0,8.0,1,0,4,0.0,1,1,192,4
L0204115017,2017-00-15,1,8.0,1,0,4,1.129104058472663e-6,1,1,192,4
L0204115017,2017-00-15,1,8.0,1,0,3,1.129104058472663e-6,1,1,192,4
L0204115017,2017-00-16,1,8.0,1,0,3,1.129104058472663e-6,1,1,192,4
L0204115017,2017-00-16,1,8.0,1,0,4,1.129104058472663e-6,1,1,192,4
L0204115017,2017-00-16,1,8.0,1,0,3,1.129104058472663e-6,1,1,192,4
L0204115017,2017-00-29,2,8.0,1,0,4,8.35769498053196e-9,1,1,192,4
L0204115017,2017-00-29,2,8.0,1,0,3,8.35769498053196e-9,1,1,192,4
L0204115017,2017-00-30,3,8.0,1,0,3,6.186418044507036e-11,1,1,192,4
L0204115017,2017-00-07,4,8.0,1,0,4,4.579669976578771e-13,1,1,192,4
