index,sim_idx,hdgrid,avg_msc,avg_delays,instant_delays,vol_dep,density,logsum,time
1,1,5.0,-0.006071332038092537,2.0918782985166517,2.0918515000016447,1.2402112934480267e-9,1.2402112934480267e-9,-286.0582089707859,27.71472518174937
2,1,5.083333333333333,-0.009556429517004682,2.0918954903900207,2.0918515000053257,2.776196046629304e-9,4.01640734007733e-9,-286.0582089707859,27.71472518174937
3,1,5.166666666666667,-0.013740560031910324,2.0919189722465226,2.0918515000151645,7.420995537906986e-9,1.1437277795254472e-8,-286.0582089707859,27.71472518174937
4,1,5.25,-0.01903081933722725,2.0919543427232172,2.091851500092289,5.81735241546782e-8,6.960555696361087e-8,-286.0582089707859,27.71472518174937
5,1,5.333333333333333,-0.02631862079960708,2.092012095423775,2.0918515020615382,1.4854027281106432e-6,1.554837833501243e-6,-286.0582089707859,27.71472518174937
6,1,5.416666666666667,-0.03572442262947572,2.092099859394485,2.091851564866139,4.737355245982402e-5,4.8922850957945076e-5,-286.0582089707859,27.71472518174937
7,1,5.5,-0.04750659693960697,2.092237447034236,2.091853602537804,0.0015370174072632694,0.0015857602409927942,-286.0582089707859,27.71472518174937
8,1,5.583333333333333,-0.06115566357571617,2.0924455992375686,2.0919183877386396,0.048867656768189764,0.050447566916384176,-286.0582089707859,27.71472518174937
9,1,5.666666666666667,-0.07478553251795517,2.092696540062045,2.092823864894937,0.6831121850725276,0.7333697341599034,-286.0582089707859,27.71472518174937
10,1,5.75,-0.06783341249220201,2.092610647717241,2.0931305597601173,0.2373629272242195,0.9646828275435831,-286.0582089707859,27.71472518174937
11,1,5.833333333333333,-0.04450735804062645,2.0923271727669257,2.09302043386074,0.025915141055388443,0.8816245003959615,-286.0582089707859,27.71472518174937
12,1,5.916666666666667,-0.018147080175020123,2.0919840955416134,2.0921745178419937,0.002827804260123408,0.2436240861278565,-286.0582089707859,27.71472518174937
13,1,6.0,-0.009273304759455989,2.0918988811547106,2.091886775250677,0.0003247997081645225,0.02660503412463143,-286.0582089707859,27.71472518174937
14,1,6.083333333333333,-0.015062577380736204,2.0919204774969073,2.0918554317742197,7.590475586121506e-5,0.002965393165981753,-286.0582089707859,27.71472518174937
15,1,6.166666666666667,-0.027373125970297098,2.0919750221372544,2.091852147715172,0.00010220588032701466,0.0004885148629952067,-286.0582089707859,27.71472518174937
16,1,6.25,-0.04871432400575286,2.09206899031349,2.09185208794338,0.0002348297160669939,0.00044343423168298983,-286.0582089707859,27.71472518174937
17,1,6.333333333333333,-0.07921471973983805,2.092219549967518,2.0918528359099704,0.0005945054440947325,0.0010075599652882871,-286.0582089707859,27.71472518174937
18,1,6.416666666666667,-0.12602069450348874,2.0924693437849404,2.091855100726362,0.0017115180788490325,0.002715712741919296,-286.0582089707859,27.71472518174937
19,1,6.5,-0.20102369044427582,2.092886301710802,2.091863053247968,0.005998528792315187,0.008713603745732044,-286.0582089707859,27.71472518174937
20,1,6.583333333333333,-0.31633378609532403,2.0935628401282873,2.0918973226518447,0.025847766639738676,0.034560015665536827,-286.0582089707859,27.71472518174937
21,1,6.666666666666667,-0.49012836806178717,2.094627186728596,2.092056894153728,0.12035793314416199,0.1549108330645879,-286.0582089707859,27.71472518174937
22,1,6.75,-0.7524502958140828,2.096241157671459,2.092600941057,0.4103694789683581,0.5652377945792542,-286.0582089707859,27.71472518174937
23,1,6.833333333333333,-1.102487542477065,2.0984229304290603,2.0937142666230333,0.8399692966215418,1.4049218253860225,-286.0582089707859,27.71472518174937
24,1,6.916666666666667,-1.5604074347170276,2.101220633550451,2.094731566662697,0.7695595966393869,2.1721822062715064,-286.0582089707859,27.71472518174937
25,1,7.0,-2.1686120957855315,2.1050756606069143,2.0954702426804497,0.5805340077366618,2.7293008739552986,-286.0582089707859,27.71472518174937
26,1,7.083333333333333,-2.9890374958565733,2.1106449314683675,2.0968536298584532,1.2595574980639477,3.7726687415691202,-286.0582089707859,27.71472518174937
27,1,7.166666666666667,-4.086434896304603,2.1185034307522113,2.10059098721274,3.409892098227506,6.591430282268213,-286.0582089707859,27.71472518174937
28,1,7.25,-5.463851569483357,2.128547598973856,2.1062533055963684,4.929518778355939,10.862021445475648,-286.0582089707859,27.71472518174937
29,1,7.333333333333333,-7.134090629129884,2.1408754024400207,2.1158288951917608,7.651275680093331,18.084050575243793,-286.0582089707859,27.71472518174937
30,1,7.416666666666667,-9.034329835216097,2.154678562418999,2.1255580841045427,8.38735945454625,25.421926226361705,-286.0582089707859,27.71472518174937
31,1,7.5,-11.142428074914015,2.1700517886974007,2.148179861771499,18.45226344484908,42.48355315286534,-286.0582089707859,27.71472518174937
32,1,7.583333333333333,-13.021782886763207,2.182177656235013,2.152482831607315,11.388512071569316,45.728906683234804,-286.0582089707859,27.71472518174937
33,1,7.666666666666667,-15.453843840423175,2.198304754507744,2.161806985508116,11.873711227895736,52.76129987544371,-286.0582089707859,27.71472518174937
34,1,7.75,-18.33735786137002,2.217688132432963,2.178508776320902,15.329615657551003,65.35799886380426,-286.0582089707859,27.71472518174937
35,1,7.833333333333333,-21.514448203305836,2.238383072531472,2.194881111638523,20.554185988638828,77.7062184077038,-286.0582089707859,27.71472518174937
36,1,7.916666666666667,-25.07744538251924,2.2612864901436067,2.2095384152570636,24.514493485517182,88.76093964887862,-286.0582089707859,27.71472518174937
37,1,8.0,-29.085557199331827,2.287813960111709,2.2349959766795267,32.07197589862953,107.96135006061496,-286.0582089707859,27.71472518174937
