run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3
1,0.08057690749547645,1,953.126665356,0,70.52792235364008,46.63357011116528,17.831905299511924
2,0.08065829011928116,1,538.569494048,0,64.38666339244709,51.49500655807651,20.42038981044086
3,0.08057682903899284,1,630.867436743,0,70.17891264051347,46.682004590420135,18.026372927537956
4,0.08057662227440372,1,78.111892314,0,70.32747706425694,46.72105568701644,17.86951216537457
5,0.08065829011928116,1,503.940240161,0,64.3866642220758,51.495005218563634,20.420393262024312
6,0.08078176467178273,1,61.593256098,0,61.43008850762608,60.1522657798447,23.086561592336455
7,0.08057667140895848,1,990.522309082,0,70.19126371127838,46.68008362366166,17.921608262607407
8,0.08079009172364426,1,105.41145086,0,61.91478920664371,61.48266995494871,22.671765491303802
9,0.08065878373686364,1,337.467347119,0,64.9698424612293,50.85132171754144,20.034055539502955
10,0.08057700315041531,1,986.444724915,0,70.58878429354,46.60487872050266,17.819656726891285
11,0.08065933820236951,1,67.109901818,0,64.7090691177544,50.82187836921112,20.64113210840085
12,0.08065829011928125,1,590.94513409,0,64.38666384954695,51.49500601108884,20.420390667951125
13,0.08057665374426849,1,496.655318801,0,70.20585200922159,46.690025805102096,17.923317204705754
14,0.08057666025258967,1,262.802687701,0,70.23046413083536,46.70948413449913,17.953427641843977
15,0.08065829011928169,1,461.587202202,0,64.3866641612449,51.49500515376261,20.42039356718133
16,0.080827065283659,1,72.265025829,0,63.66279842715563,63.641132037436456,23.08400351647439
17,0.08065829011928102,1,397.731937662,0,64.38666414771265,51.49500509099878,20.420393787583286
18,0.08057741700529403,1,94.104895049,0,70.95487679860366,46.53806653628008,17.787725744561808
19,0.0805807640521942,1,83.134369145,0,69.58115748785023,46.32795829737407,18.951947062784434
20,0.08057672556491498,1,738.884245181,0,70.16408853929906,46.66318672963784,17.935249619436764
21,0.08065829011928156,1,415.094586012,0,64.3866638651709,51.49500594949884,20.42039013946741
22,0.08065829011928154,1,401.145618987,0,64.38666359035464,51.49500476828091,20.42039790823341
23,0.08057673198066599,1,69.333326178,0,70.1522951902083,46.64932677894206,17.87407796270175
24,0.08057668679263258,1,74.184236687,0,70.44085472180275,46.75029403322911,17.879301137377286
25,0.08083690789947551,1,66.239225183,0,64.24966030484033,63.00393038369165,24.1988382134462
26,0.08065829011928195,1,494.185828945,0,64.38666385981547,51.49500649575039,20.420388518020303
27,0.08057745334107087,1,154.843829981,0,70.99716469329981,46.52694045016862,17.782696226612067
28,0.08065829011928143,1,528.069966512,0,64.38666419192957,51.4950050108076,20.420393408000255
29,0.08065829011928145,1,547.198098726,0,64.38666336564484,51.495004896142206,20.420398591582487
30,0.0805766809180788,1,102.234291298,0,70.1941962258752,46.683432005954444,17.935792008896254
31,0.0805765628450341,1,87.301002464,1,70.30720340078402,46.75396079509761,17.882811363973026
32,0.0806582901192816,1,410.228743029,0,64.3866640069775,51.49500583043873,20.420389622905184
33,0.0805767843182182,1,420.23030208,0,70.43877005748115,46.665678717103276,17.845941528247508
34,0.08065829011928147,1,533.972631588,0,64.38666416385206,51.49500444523576,20.42039788577591
35,0.08057734050946608,1,60.95418919,0,70.79206180416367,46.49197132239594,17.772033359107002
36,0.0805768146948176,1,826.146508262,0,70.19811062677313,46.695143925973824,18.029245958480868
37,0.08085449721512393,0,1909.16431945,0,61.035492765144724,58.77409648955621,22.285238722360514
38,0.0806582901192815,1,433.92727696,0,64.3866639564729,51.49500508523041,20.420394469650603
