run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5
1,0.06778324210024349,1,103.482959688,0,366.73170316878526,109.88733918378657,86.98258168456096,19.14856883186209,95.84289977665797
2,0.0677847962384045,1,82.397716285,0,368.0480344465622,110.19271764593682,87.17567185440801,19.15335645596756,96.10784632779293
3,0.06778401450186483,1,64.821606185,0,365.31965297626857,109.64913475357972,86.89765106389927,19.208508577847304,95.58358565274668
4,0.06778336759571489,1,65.262838713,0,366.27168149930606,109.67029404760662,86.84916350715591,19.29623868876529,95.74993620802016
5,0.0677874640286685,1,62.192175782,0,366.26543809141646,109.28504149833066,86.99509497463744,19.825304455647114,95.74936248321991
6,0.06778386616574915,1,94.390643306,0,366.34007870822154,109.80850836007451,86.92558929021145,18.853125713858095,95.80900286739349
7,0.06778325562340858,1,67.151606743,0,366.74958335111376,109.90701620291986,87.00978798597123,19.272933554978067,95.84759353772166
8,0.06778375646012391,1,98.513079078,0,365.519566916487,109.56317667753218,86.74640855342511,19.147494128854383,95.59623918841274
9,0.06778349762541669,1,118.427259106,0,367.0726615093655,110.01355694444226,87.09579396614215,19.13313136385457,95.91806867552717
10,0.06778339021196092,1,91.806772553,0,366.3318343753155,109.97773429027914,87.17262524278041,19.151646189612926,95.77307482217452
11,0.06778335367137743,1,118.158597192,0,366.10492514072655,109.58547261703308,86.67687861328152,19.131396852096223,95.70446855603484
12,0.06778435713973119,1,140.561720909,0,365.10536512010333,109.54704843085182,86.79339229929755,19.130803050775246,95.52604245351581
13,0.06778327502249795,1,104.595128499,0,366.8373822049646,109.92831588954054,87.02216351647863,19.19687387608751,95.86505675390926
14,0.06778343020528803,1,119.782185191,0,365.88068514746107,109.76232717279453,86.95614069898538,19.15031591330787,95.68015190609012
15,0.0677839219429051,1,94.430548851,0,366.89345137901563,109.68216533415901,86.70368353909362,19.42362395153601,95.88286047920124
16,0.06778330341013018,1,92.479936653,0,366.0214514138219,109.68379170743401,86.82786596962757,19.233479814405747,95.70657137024853
17,0.0677842007896753,1,88.645405222,0,365.48431035255203,109.30994156916297,86.40462714329506,19.050887885695147,95.56850923159749
18,0.06778357912127789,1,109.661962368,0,365.7166683778893,109.6969090053813,86.89254660355002,19.10939623133544,95.64762548936221
19,0.06778330526464363,1,122.818695427,0,366.01189481999575,109.652024501593,86.78521745460574,19.18569549563415,95.69358835454547
20,0.067784161955178,1,73.175826409,0,365.442595742108,109.44306578321347,86.69085599981437,19.283030284502416,95.47320428619874
21,0.06778318179409486,1,102.032443314,0,366.37044619731574,109.74016718233935,86.84361832939607,19.15105299795756,95.76401625441325
22,0.06778377691687369,1,103.124999241,0,366.508219821211,109.99157401953512,87.14954784253706,18.886286524659983,95.79238262198952
23,0.06778392425123214,1,108.924892966,0,365.4041054690174,109.69662518860191,86.94612207050511,19.158243138796593,95.61019610980418
24,0.06778346938632833,1,101.587635367,0,365.7823843359563,109.63799915024039,86.80535286846404,19.20867127400412,95.65285965774385
25,0.06778399575300179,1,137.010139206,0,365.3519776842665,109.59689457815792,86.81837024115917,19.107605490502607,95.56698152231318
26,0.06778317436598637,1,91.915716967,0,366.53416604571305,109.8248647998648,86.9335082225655,19.232366141333518,95.80538881979948
27,0.06778317685954405,1,129.129587907,0,366.3956463372059,109.73151474488598,86.83021938379493,19.232004028316624,95.76498076656407
28,0.06778325583401526,1,111.864344598,0,366.14882666671747,109.76719257596847,86.91759358327498,19.14962943294553,95.72768916602514
29,0.06778363646826452,1,115.371931459,0,366.234359712621,109.56238377955579,86.6353136684716,19.36255649121028,95.71647612369907
30,0.06778321734166451,1,107.198291567,0,366.39745591776074,109.85704573532726,86.99752243006118,19.157599894813647,95.78848209886598
31,0.06778575740917488,1,58.620359624,0,364.8429795800424,109.46341766939831,86.70199445705823,18.66659797717018,95.45421359011577
32,0.06778332809718035,1,120.911141351,0,366.03399941366257,109.78375730246503,86.9618474232539,19.257306587089214,95.71410297805511
33,0.06778405850035572,1,87.054246492,0,365.4788183144433,109.38403705031602,86.50573548292176,19.077047918850358,95.597058749405
34,0.06778319961383468,1,86.466866765,0,366.6881411604926,109.84679841575291,86.93578372015541,19.172631139066,95.83200018264543
35,0.06779391733619243,1,89.084819283,0,362.80073947708195,108.57710343515157,85.85580335837803,19.44666017842265,95.16755278770067
36,0.0677850602121864,1,112.576541583,0,364.7778204503255,109.74441866389267,87.11246991247059,19.025942081123166,95.47262448246475
37,0.06779157477828268,1,81.494759323,0,362.8501217139298,109.10561169963745,86.59447031167328,19.3062110418669,95.1154481335815
38,0.06778429162403915,1,95.442229054,0,365.347131738112,109.91199811219958,87.25081247831814,19.221279734578914,95.60594531622756
39,0.06778334456377784,1,121.86857384,0,366.29394383688253,109.94750837987583,87.13915964914317,19.177307665317304,95.77040779344365
40,0.06778333601556695,1,101.97305683,0,366.1749788689379,109.86415647032308,87.04357979286726,19.12454485966154,95.73644358937352
41,0.06778317381938516,1,93.388416961,0,366.5577670563809,109.83346316467824,86.94062956509664,19.21033869945262,95.8112973250654
42,0.06778753219906526,1,71.116750927,0,363.89121315256335,109.14920523228935,86.45944836798374,19.237548979871814,95.28999009216331
43,0.06778404373864043,1,86.611807093,0,366.34049498199215,109.35193067488999,86.31825032824351,19.085282475703785,95.72791385795412
44,0.06778503858309883,1,81.628173201,0,365.78875310893153,109.44707606508628,86.51726574127122,18.60107910143496,95.62920635437627
45,0.0677832186031207,1,130.245067193,0,366.34638727187064,109.82361368210783,86.9606824456756,19.140571601600282,95.76668170660608
46,0.06778322387232623,1,102.3707764,0,366.5918072877792,109.75490705281803,86.82277273298203,19.177060395048816,95.87833921175627
47,0.0677945241492535,1,160.181566852,0,362.38640548282945,108.6298690219913,85.9991900803211,19.12943804495833,95.08322092151506
48,0.06778436883900879,1,78.22630337,0,365.12275357598423,109.4281790592341,86.6305779408603,19.19688675000852,95.52064633194045
49,0.06778336412353694,1,119.803782269,0,366.9829721537866,109.95063262935497,87.02687626048355,19.16461686083187,95.89469929536303
50,0.06778486548918748,1,85.942353191,0,364.9397387641059,109.41809380831742,86.757414450833,19.239334054339658,95.57602828983266
51,0.0677854684636116,1,80.037368305,0,364.5937529100405,109.5369375480783,86.8700131053618,19.14284940234741,95.36041135668299
52,0.06778529497402752,1,59.285152188,0,367.7856492537398,110.5099245566777,87.64057596883868,18.96294157983479,96.06593313619436
53,0.067783421984044,1,101.366686784,0,366.4464262731642,110.01403671475848,87.20233722544216,19.13701261289806,95.7970663746892
54,0.06778320720415656,1,81.449083762,0,366.6073623927971,109.87769568656962,86.9902899088366,19.16692839512143,95.82114171651757
55,0.0677862846140355,1,78.403564073,0,364.97340448661504,110.14717144568438,87.61973323167574,18.97465590474747,95.56567317256989
56,0.06778415887694407,1,58.204770851,0,365.5079212774813,109.32280785344837,86.42572607792852,19.192308467591143,95.57354048730302
57,0.06778335939957811,1,104.981417759,0,366.8739381534148,109.85133523530808,86.90361503832857,19.196116887553348,95.98584382743577
58,0.06778420737756598,1,80.38474918,0,365.52044148951006,109.76689121602834,87.01127389497303,18.859079170533228,95.614323768878
59,0.06778338189879662,1,137.808573774,0,366.35330416971425,109.68107286210021,86.75476996091413,19.091388822170337,95.91111784769153
60,0.06778363908233156,1,116.757602867,0,366.0390873453127,110.01154843347938,87.29936498464171,19.033547665050722,95.72775941060904
61,0.06778382505036391,1,85.972607678,0,365.4667480064677,109.55195224923538,86.74226206944834,19.22582773877362,95.58633389542808
62,0.06778540547136909,1,68.610013624,0,365.03800769442375,109.30491521087416,86.89694760078383,19.33516827131558,95.51034597133373
63,0.06778446218566217,1,88.899876146,0,365.1458743569245,109.67618046085852,86.9582351682669,19.045732905159326,95.54804011796246
64,0.06778450769955387,1,79.789586011,0,365.20926268015364,109.28029201012896,86.41445861988547,19.125748309631355,95.49084908506786
65,0.06778478914786847,1,89.724062128,0,364.8881656289156,109.56812151903925,86.85766036821735,19.10750967373912,95.48941289527512
66,0.0677832741646317,1,82.117855876,0,366.2821179754906,109.89252199401358,87.06682284673795,19.187111627801876,95.76362288539335
67,0.06778518887625845,1,86.255396208,0,364.68641261807437,109.41053790006659,86.67938832415774,19.162765479016084,95.43716445366903
68,0.06778324414495426,1,104.19991143,0,366.8321842048112,109.87984838800189,86.95760301409861,19.21249110429405,95.85963829639414
69,0.06778486712369239,1,69.858945009,0,365.2884860083863,109.70774727333283,86.95727237001245,18.699533494757496,95.58769237285283
70,0.0677832607245973,1,96.068432448,0,366.20967897396883,109.63860221829793,86.73374310831872,19.17486637206527,95.71795410327967
71,0.07125122506973933,1,35.521813849,0,333.4426391849594,112.43311750328347,73.74069825471929,6.505984714590767,88.015026242957
72,0.06778490453527987,1,70.759678523,0,365.4172215115863,109.59979767101184,86.78469805495747,18.630718369974105,95.61747115512534
73,0.07860178126853258,1,47.354280897,0,281.8599815951096,100.74810687675884,104.10078822182967,1.0000254388146144,85.3927132973672
74,0.06778317541439859,1,113.023247417,0,366.6253451103501,109.78980496004786,86.87029464369951,19.218456256195605,95.8145532498341
75,0.06778349829200295,1,105.951410336,0,366.02718601761984,109.48220483647371,86.5503609782385,19.130044859718737,95.67523643793146
76,0.06778330307009744,1,121.913333697,0,366.1540823694816,109.83522126666912,87.00799184303982,19.1412276537786,95.73609049706141
