run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4
1,0.020062223963076463,1,0.305601149,0,93.61892777263394,86.44471503055365,-2.919109095483295,57.657353714270876
2,0.020062223963788477,1,0.380081489,0,93.61923047718264,86.44458060473261,-2.91909069512592,57.65739717614648
3,0.020062223973995527,1,0.374595203,0,93.6199142523818,86.44407910170344,-2.919437360635823,57.657426427486506
4,0.020062224039301697,1,0.392304516,0,93.62114071208184,86.44290219880708,-2.920571229460066,57.657335081327226
5,0.0200622239666462,1,0.344783215,0,93.61958037846759,86.44436794093436,-2.919183317808511,57.6574296782926
6,0.02006222401320172,1,0.388750311,0,93.61613545734048,86.4469581963865,-2.9173221502639395,57.65732044932821
7,0.020062224020763467,1,0.319264756,0,93.62135827953422,86.44299346039418,-2.920218992436328,57.657475439519814
8,0.020062223985512058,1,0.527666396,0,93.61684305241188,86.44638811061809,-2.9177748125996255,57.65732321238285
9,0.020062223966026874,1,0.340234647,0,93.61956000173329,86.44439424775994,-2.9191514926236577,57.657433943916594
10,0.020062224016240957,1,0.347624,0,93.62126644222516,86.44306814071986,-2.9201578396125676,57.65747371910672
11,0.020062223969193164,1,0.59297891,0,93.61759002488498,86.44583638287061,-2.9181614603118207,57.65735401529047
12,0.02006222401025803,1,0.528842294,0,93.61619856393936,86.44690671850749,-2.9173638096945007,57.65732053202141
13,0.02006222400341541,1,0.517126976,0,93.61590074182882,86.44692342372055,-2.9175827881418455,57.65719969080172
14,0.020062223983263766,1,0.453356112,0,93.62045765210884,86.44373834340253,-2.9196058315506357,57.657479216970174
15,0.02006222396933055,1,0.421409733,0,93.62059345104113,86.44408951790908,-2.9189054507087686,57.657810467247764
16,0.020062224000098668,1,0.337365267,0,93.62078639655864,86.44340102677317,-2.919950863369628,57.657444518369694
17,0.020062223967654558,1,0.500593295,0,93.61768981303673,86.4457628358407,-2.91821272740862,57.657358085317206
18,0.020062224020010608,1,0.337278465,0,93.61600156671201,86.44707016722161,-2.9172281598456875,57.65732095733385
19,0.02006222396111766,1,0.502038185,0,93.61907414538337,86.44479100361914,-2.9188249674570694,57.657425979784854
20,0.020062224019291763,1,0.334735197,0,93.6213591141881,86.44300765894316,-2.9201913555030847,57.65748211305044
21,0.020062223972696937,1,0.625304555,0,93.61800025330992,86.44576989653042,-2.9179103302565856,57.65745450940606
22,0.020062223971090348,1,0.504404382,0,93.61744015985359,86.4459310730359,-2.918113958843429,57.65734028955096
23,0.020062223974480445,1,0.502603845,0,93.6199626548326,86.4440535992331,-2.9194433711726644,57.65743358394215
24,0.020062223970555192,1,0.370589641,0,93.61997676185042,86.44413808550009,-2.919272479529609,57.657479052093166
25,0.02006222398702211,1,0.347330317,0,93.61701131603543,86.44635455122328,-2.917690173639555,57.657371029241524
26,0.020062223974840566,1,0.355171925,0,93.62017946469454,86.44397861230077,-2.9193961313827668,57.65748350569321
27,0.020062223967809892,1,0.651989913,0,93.61769365571784,86.44576585790689,-2.918204011629578,57.657361454186955
