run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
1,0.07930397494317304,1,301.80252977,1,41.41226862553778,72.61630053646529,107.03598131360127,-8.502480858816725,94.0606931684631,73.85353315944415,4.57015516931928,41.438242794118175
2,0.07955173015987614,1,718.794661869,0,47.99955783189188,72.04545273629954,101.2484604569243,-9.282110203340956,95.45781715792462,84.9344342280185,3.0268336116323633,42.92189599276519
