run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7
1,0.060635014043392964,1,670.945810851,0,40.99062893566051,76.2236848858119,-0.0362504625196756,68.88847877265445,86.29425971614394,11.48061780944735,22.022560042859457
2,0.06063172611443265,1,680.369399159,0,39.77995768967877,76.56143210461337,-0.2441969666435239,69.45174096999493,90.49306329619503,11.062052668094656,21.580576786082062
3,0.06069592310178446,1,294.424276359,0,41.43067959654995,76.28955215604982,-0.019415971512049573,71.52254919866591,76.45603941741098,10.837371879538718,22.40231775607084
4,0.06021180078719578,1,446.75414916,1,34.61011935628161,77.66863631363292,-1.1470388243053768,57.498470380549264,226.35920974749524,14.964883171315758,18.56434779921842
