moment,alpha,gamma,mu
w0,-0.18521004971775293,-0.05661204962783494,0.2418220993455878
w1,-0.39519115547764616,-0.34029253135887877,0.25567987889306715
w2,-0.3725325539640242,-0.05928190378436229,0.191867886985192
optimal,808.8396493682765,98.91900960832493,62.89350002358111
