moment,alpha,gamma,mu
w0,-0.0724023162481526,-0.08866711237764978,0.26215993408529015
w1,-0.25427060575770816,-0.40010351861467713,0.26529245671148616
w2,-0.21136595765429916,-0.13839620803580271,0.31779529735647205
optimal,93.61883945615574,86.44495932570527,57.65741034991511
