moment,alpha,gamma,mu
w0,-0.09684825213635614,-0.0864827230935919,0.24712334755824222
w1,-0.23841917785488934,-0.3813322976697587,0.22569429115088524
w2,-0.18327856584854776,-0.11574740441576374,0.2957299566831277
optimal,101.86778196327889,80.13171875463834,57.934504840494505
