uidp,deviceid
L0422110337_F352,NJAMU2SXK
L0422111011_12A5,THGTUBY8H
L0422115900_A6B1,DTUBGEV6Y
L0422121301_436E,65ET7KMQE
L0422122622_E3E2,XEL9WV8GY
L0222091615,2W6SNTAR8
L0422124523_D0D5,THGTDVELW
L0222092557,XE322W47E
L0222101454,SN38P8RL4
L0422143618_CFE9,Z2NZFFQED
L0422145255_31F9,NJAMYJ4VK
L0422151139_3F77,DTUB9VSJ7
L0422151230_8F7A,65ET6C2PE
L0422152025_E6EB,YVMYLZDM7
L0422152727_A87E,2WAP6E5JA
L0422153557_4EFA,VGJVNC246
L0422154812_94B2,BRS7SGC35
L0222082132,Z24BGG2JJ
L0422155426_91A7,F3WDF3CMX
L0222084135,NJ39VBD6A
L0422160904_B086,RMERTGBNA
L0422162140_89B3,Q8DQJT6B4
L0422163757_0466,YVMYM39L4
L0422164344_CD50,2WAPADXC8
L0422170205_96D6,AZR664EK2
L0422170409_CE42,THGTTN3BJ
L0422170734_1F4C,AZR664CV2
L0422173228_01AC,HVYFW3VKG
L0222091519,MW3KXG3TX
L0422175055_B1B2,CKTLKGCF8
L0422181721_B526,E8VQ95WPU
L0422182043_2852,F3WS7YRYL
L0422182336_18C1,WTKV9YZVN
L0422184004_B71F,Z2QETZDHD
L0422184431_6CFB,BRSJX2SDQ
L0422195254_C192,E8VQ4GBSN
L0222094327,MW3AV2KLG
L0422162633_BF32,GQXE3EVHP
L0222095909,656SKUBWZ
L0422183529_EB4D,JV92N3ZSF
L0422154537_18E2,GQXEY3655
L0422165605_6378,Z2QWG78NM
L0422203110_66ED,CKTL7ANJA
L0422204514_1F82,VGJTRFFYZ
L0222115217,LQ3RLR679
L0424091117_EA23,BRVZ4DGRR
L0424092459_CB73,Z2QG6ADLK
L0424102710_B3EB,DTX7GTTAY
L0222132553,65FWPCTPZ
L0424110922_A5BE,DTX7CJZSY
L0424083412_C570,PVEWACS25
L0424084355_8B29,CKW2Z58HN
L0424084503_ED01,LQAXRFKCM
L0424092030_6E9C,3MEW5SRN9
L0220090928,3M6MVXRZE
L0424100846_AFE3,4EFJZHQGS
L0424102646_3F4E,DTX7GT7T9
L0424104108_C2D5,G8ZGMZMR8
L0424105947_4CB3,4EFJ7F7JR
L0424110336_C59D,PVEWXWELS
L0424112012_7E6A,9FLNGE9HX
L0424113958_4D35,4EFJ85GNR
L0424114225_D77E,RMGNPEEMK
L0424120539_1A4D,CKW2JMPV8
L0424122547_9424,HV3RAFXXS
L0424132339_B074,WTMH7NTNK
L0424091937_CAB0,AZU7WXRWC
L0424101423_12D1,RMGNAEKL9
L0424101513_0571,LQKZZX5T9
L0424104032_44AA,AZU7FD9RR
L0424105420_B80A,JV5N7F276
L0424111614_4062,7HJMEDJSJ
L0424112134_9086,Z2QGYCLF8
L0424120646_0100,5KG9T99V9
L0424122417_2473,4EFJSQY2R
L0424125840_2455,E8YXGE48G
L0222182452,JV34TDRV8
L0424130317_0553,2WDL97LC8
L0424135113_FACB,KP6WV394B
L0424141406_642B,Z2QGSBT6K
L0424155355_74D1,SNHGMPU9A
L0424171444_1D7F,9FLZN9TP3
L0424181229_8921,9FLZPFDK3
L0424182757_2F84,JV584K3Q8
L0424190104_3E62,WTMDLR28X
L0424124414_F480,9FLN9Q9GM
L0424131921_1EE4,Q8FG7R9SW
L0424134930_9B6E,Z2QGMF9U8
