index,sim_idx,hdgrid,avg_msc,avg_delays,instant_delays,vol_dep,trip_prob,density,logsum,time
1,1,5.0,-0.3718312694163784,2.0946800569784974,2.0924897208559585,0.1925416525860578,0.9989608143512361,0.1925416525860578,-393.6967875576974,37.22553657381086
2,1,5.083333333333333,-0.47839066553011966,2.095816875360347,2.0941113377914853,0.48921748907599405,0.9989608143512361,0.6817591416620519,-393.6967875576974,37.22553657381086
3,1,5.166666666666667,-0.5562821426007131,2.0966837759389896,2.0955446170416145,0.4323988363287484,0.9989608143512361,1.1141579779908002,-393.6967875576974,37.22553657381086
4,1,5.25,-0.5987334148229747,2.0972244479637396,2.097249717594106,0.5144032443205635,0.9989608143512361,1.6285612212210718,-393.6967875576974,37.22553657381086
5,1,5.333333333333333,-0.5887928367255622,2.097157347821851,2.0981235943281984,0.2636355132896789,0.9989608143512361,1.8921967150596068,-393.6967875576974,37.22553657381086
6,1,5.416666666666667,-0.5339264152092913,2.0966265846916454,2.0978682929995336,0.08067784906842135,0.9989608143512361,1.8151761362589203,-393.6967875576974,37.22553657381086
7,1,5.5,-0.4620209938430284,2.0959964275434424,2.096669182401276,0.07258125839510236,0.9989608143512361,1.4534224673425589,-393.6967875576974,37.22553657381086
8,1,5.583333333333333,-0.4073192977594954,2.0956274923982923,2.0967293835349903,0.46054865308798093,0.9989608143512361,1.4715842457687136,-393.6967875576974,37.22553657381086
9,1,5.666666666666667,-0.35545510357633786,2.0950444341089303,2.0964044784136004,0.40205868187906585,0.9989608143512361,1.3735652474515685,-393.6967875576974,37.22553657381086
10,1,5.75,-0.2908957486222168,2.0943453955527165,2.0955729759633583,0.07573014206692086,0.9989608143512361,1.122713439015218,-393.6967875576974,37.22553657381086
11,1,5.833333333333333,-0.24871096377073415,2.0937247784404724,2.0947037351585247,0.013449769069263554,0.9989608143512361,0.8604765354490752,-393.6967875576974,37.22553657381086
12,1,5.916666666666667,-0.23210311428828,2.093279253253564,2.0931501581489718,0.0029850154993069276,0.9989608143512361,0.3917856707641841,-393.6967875576974,37.22553657381086
13,1,6.0,-0.2692622666041573,2.0934345735176616,2.0921125000376892,0.004948011273663014,0.9989608143512361,0.07873979377595851,-393.6967875576974,37.22553657381086
14,1,6.083333333333333,-0.37282931639487193,2.0941993042749667,2.0920196602831815,0.03227147061560595,0.9989608143512361,0.050731433360070056,-393.6967875576974,37.22553657381086
15,1,6.166666666666667,-0.5245596798580832,2.095421717448149,2.092616852373734,0.19102818628032858,0.9989608143512361,0.23089532326245477,-393.6967875576974,37.22553657381086
16,1,6.25,-0.7309477729402873,2.0969820876873273,2.0943163307494754,0.5147615913967598,0.9989608143512361,0.7436024401557462,-393.6967875576974,37.22553657381086
17,1,6.333333333333333,-0.9634326766496465,2.0984873845997654,2.0963480217088626,0.613860153909823,0.9989608143512361,1.3565331070439468,-393.6967875576974,37.22553657381086
18,1,6.416666666666667,-1.2477679836907345,2.099828092036595,2.0979092144370397,0.4751897276317576,0.9989608143512361,1.8275215197262418,-393.6967875576974,37.22553657381086
19,1,6.5,-1.628778725833465,2.101193055400241,2.0985105587110167,0.21125761242306113,0.9989608143512361,2.0089380610437604,-393.6967875576974,37.22553657381086
20,1,6.583333333333333,-2.205313762692673,2.1030881629238523,2.0992911646029526,0.4190930501396589,0.9989608143512361,2.2444351417935064,-393.6967875576974,37.22553657381086
21,1,6.666666666666667,-3.078347762627223,2.1057846660570587,2.098882868970548,0.437763380772866,0.9989608143512361,2.121258477989856,-393.6967875576974,37.22553657381086
22,1,6.75,-4.402930562532517,2.110267693088102,2.10065754320656,1.1952387056181808,0.9989608143512361,2.6566510572414295,-393.6967875576974,37.22553657381086
23,1,6.833333333333333,-6.290001117496865,2.11658511057737,2.0970184002009127,0.2526015892487046,0.9989608143512361,1.5587762357546928,-393.6967875576974,37.22553657381086
24,1,6.916666666666667,-9.197419056912953,2.12838814545165,2.0977719239810826,0.5971638850645447,0.9989608143512361,1.786103049885391,-393.6967875576974,37.22553657381086
25,1,7.0,-13.334196558475888,2.1463724146344325,2.102170022858511,1.7384229420438575,0.9989608143512361,3.1129434660065605,-393.6967875576974,37.22553657381086
26,1,7.083333333333333,-19.020130159628746,2.1719718295487214,2.1120462284012422,3.296035309529316,0.9989608143512361,6.092446436998591,-393.6967875576974,37.22553657381086
27,1,7.166666666666667,-26.50773996508846,2.205843832664267,2.1332703306463996,6.512698193072922,0.9989608143512361,12.49543951186713,-393.6967875576974,37.22553657381086
28,1,7.25,-35.732904103254775,2.2457881194941973,2.1655740347920402,9.963064628721972,0.9989608143512361,22.24098217595471,-393.6967875576974,37.22553657381086
29,1,7.333333333333333,-46.50328506731164,2.289667153911475,2.1912114511409837,8.990881905961547,0.9989608143512361,29.975405872356884,-393.6967875576974,37.22553657381086
30,1,7.416666666666667,-59.29725605980962,2.34226095114419,2.2243186552156624,10.760528949764254,0.9989608143512361,39.96335240454971,-393.6967875576974,37.22553657381086
31,1,7.5,-74.26702976422067,2.4029175279870154,2.2849969770034337,20.276656662479937,0.9989608143512361,58.26909130996764,-393.6967875576974,37.22553657381086
32,1,7.583333333333333,-90.17738682286053,2.4634431751446053,2.3091816070904683,15.870374336963412,0.9989608143512361,65.56523119738603,-393.6967875576974,37.22553657381086
33,1,7.666666666666667,-109.24936033893692,2.5404062955980415,2.3537626301478114,19.958451372921473,0.9989608143512361,79.01465669531746,-393.6967875576974,37.22553657381086
