run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7
1,0.0032466974466738583,1,682.269900547,1,91.22763603369131,44.38603216444173,-0.3731667159845022,98.31326702545454,21.753683927058958,9.458825892390635,94.29060463702733
2,0.0032635409985701364,1,473.850992487,0,91.25974615438973,44.46156391704273,-0.4963934324477363,97.42775941645586,21.77445931210149,9.462074639277656,94.35208719014962
3,0.003266995605823366,1,487.270573619,0,91.09038577275538,44.49596979062963,-0.504828269960872,97.37136119443616,21.754063635216944,9.465047659800438,94.28335340142995
4,0.003252258584390107,1,455.348534142,0,92.9187080821394,44.23886437672685,0.1691902537896727,98.3116867858723,21.696477612585223,9.442275370252252,94.70774155219581
