run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
1,0.08110224949301534,1,3368.43722666,0,97.72453833361998,112.32456124126716,8.310093556869957,43.74478518246098,-22.415967165393088,-8.167570182180249,43.86199058599953,75.23931306477674,49.666993129188185,21.508604870313825,61.21900222363215
2,0.08113925473791002,1,2801.558691341,0,107.95196477324578,107.00016531405645,9.397697707633297,38.56509370530474,-17.10633081978633,-4.154104984721836,41.13701048679454,76.16428247600973,49.97881029026092,21.71094412704962,62.735896238155846
3,0.08107966344767643,1,256.856576151,0,79.00002254577996,113.27185364815794,6.7389234489936145,39.06510500646646,-26.531238572503383,-10.456232416472783,35.94436993146503,73.93422074428737,48.61517690751207,21.668863160082292,55.9155680945836
4,0.08113948390577352,1,1119.137017978,0,70.16812108443969,110.69329169075448,6.078154998986183,31.655472779773884,-26.29069954800069,-10.073647534457574,27.978509108423125,74.16015506863037,47.32774477929202,20.496579112242678,52.50604962789726
5,0.08113380626838716,0,7268.923091481,0,54.70864045694867,111.39292871330213,4.595444928980175,28.488963297738113,-29.50555623850445,-11.720059547616739,20.585928090360117,71.96278373168556,47.983876870856186,20.711118392453592,47.273723413096356
6,0.08106350680013023,1,763.681109522,0,45.061359084886554,120.11423613702931,3.329573658396967,41.55624671300651,-40.05412635894875,-17.303053641750022,27.099582123017033,71.93790019094267,48.10498473709549,20.16297049232871,45.416847749554044
7,0.0810958127454554,1,673.753603284,0,93.95754822514027,111.57357814011029,8.04990692506229,41.25193988387138,-22.63983088802973,-8.02001987911912,40.92525804149466,74.9616847786845,49.464942385380546,21.43181090801942,59.94739158437216
8,0.0811437115917295,1,3197.876615113,0,111.0998167790799,107.24460610840467,9.628402574660662,40.14735844095934,-16.801720988244885,-3.899013308902108,42.994273648043745,76.41095150465354,50.11525349960926,21.77266304644354,63.62547340695981
9,0.08106006955856437,1,549.435402753,0,52.583923327413004,116.33956595141993,4.223934990856742,36.6379979432639,-34.17943496275794,-15.039280541187285,26.541798437707843,72.05632533305747,47.95681228196094,20.7249794866498,47.51947009676717
10,0.08108363479423504,1,850.919580744,0,89.0102628968608,112.73432835282253,7.577026820860494,41.7314264943898,-24.696848110861243,-8.781755168206866,40.12202567390588,74.61712341532532,49.17619210857432,21.330910860841783,58.733709273124575
11,0.08107534757525221,1,814.132968911,0,86.35390845440482,114.64262966862171,7.298294382168022,43.82659569597019,-26.251264342021,-10.633154188566428,41.597159730599785,74.63570967564483,49.14964967900943,21.334444552353425,58.443325700800465
12,0.08108775784957094,0,7254.561432118,0,71.61533494429196,111.9364705950482,6.170157093165461,34.40243035222528,-26.59832974781771,-10.747022137513419,30.366991344268797,73.10741928536638,48.45883829121085,20.96865510992034,53.19238793099539
