run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
1,0.06269240441848443,1,450.710528494,0,84.13029486118947,106.71750430334157,10.052016398880358,24.643341434913037,-21.96835548297831,-18.09177853987465,42.553187578319054,83.7133286942779,59.5407811196952,20.625345714296586,56.35062041005019
2,0.06281676831163262,1,749.151783125,0,96.04699926872709,103.65554458524669,11.359187458276645,24.310855251170565,-18.669963061398626,-14.811761290260357,44.58501879280094,77.26879131193249,65.25129048714966,19.44322621665814,59.11215930374976
3,0.06269186728760853,1,563.038554472,0,88.85139113757472,105.39801330518014,10.736052689821529,24.140976645932547,-20.561131824443766,-16.89278924752618,43.12101280728533,84.34155391071646,59.8562586518225,20.7721743599563,57.33692893395723
4,0.0626974827177231,1,486.004370363,0,97.09914152188117,103.08170678460505,11.83981988998558,23.37340615315469,-18.193323968581442,-14.714700952192073,43.994144568751814,85.27235589376932,60.03510459903947,20.815499507595852,59.03998214506967
5,0.06270005346368532,1,429.533633098,0,81.6006014360964,106.84097165770575,9.551094958026953,23.784746932466664,-22.12556966340239,-18.413763781610996,41.547340601785535,82.46101568716101,59.62355733623171,19.517142023839163,55.73507546574619
6,0.0626924225144969,1,460.062048542,0,84.11777765108191,106.7290425046086,10.059587021593405,24.648672847287475,-21.97715251244703,-18.116259553309447,42.576917729381144,83.75985414942716,59.52177684366701,20.61044703045911,56.337619205592624
7,0.06269535968869243,1,488.376348827,0,91.9256217437387,104.5022915419812,11.007647256503404,23.704804235923557,-19.490812845898574,-15.982548159333252,43.436182877168626,85.207025204636,60.01002785872514,19.32784336641918,58.025622149388035
8,0.06269271807520334,1,984.67631509,0,91.29115680761223,104.71495015280898,11.062221427454508,23.906520539661646,-19.853340289161473,-16.241315513601904,43.38004863366098,84.56725692524535,59.89278248335316,20.821477952568873,57.856786482884516
9,0.06269281440896869,1,478.96957091,0,83.34325282016641,106.94399737584332,9.93749469037977,24.737505490047052,-22.206465962652796,-18.295026928210724,42.462524576760146,83.65626851872406,59.46084189615608,20.60120114121852,56.18651792037675
10,0.06268111671306612,1,263.852702227,0,93.17483987572884,104.14733294350845,11.341104180055058,23.61813564750414,-19.27387736011894,-15.548043377717699,43.7128035822815,80.65602649738456,62.00714667963198,19.66403762686817,58.28334524575183
11,0.06281903153392128,1,480.277791221,0,87.97768144513164,105.84466203693535,10.273277001774412,24.92341321014864,-20.94901158942137,-16.900796012758533,43.60517933311446,76.41996901600878,64.84732396156704,19.42040768624274,57.42248832781321
12,0.0627059364917007,1,177.907197565,0,81.57742025502546,106.04223923984048,9.425613533331457,22.41574375308176,-21.97267820121453,-17.79924206338866,40.41098565826679,82.35159764370515,59.158809968308766,19.69435176482586,55.76976119945323
13,0.06270865009268718,1,288.624045453,0,95.41927131594387,103.50501358225587,11.383415721480066,23.33837447106166,-18.406291524162594,-15.120458746217063,43.84012520366853,86.65942805861795,59.5470234876548,19.555016734540718,58.809536942732784
14,0.06269221293713817,1,600.684554509,0,91.62491246161835,104.65068720686617,11.014402111592371,23.900403841694242,-19.739739338497508,-16.037891292766606,43.40677434236434,84.26351270198191,59.906362268888394,20.294652100953748,58.01777217294831
15,0.06269237777078085,1,741.316876754,0,84.17699776735478,106.7118336558066,10.062237336676205,24.64886440485351,-21.95842603909288,-18.09061059184111,42.570641303249005,83.7434761207313,59.53782059067873,20.628979562861787,56.35940676675835
16,0.06269763018037408,1,480.940251984,0,94.9218389970191,103.75774660270002,11.411792149301732,23.570701863294737,-18.65456154464247,-15.313061657702239,43.889628781600116,85.57125652406555,60.15296477880555,19.256925477843108,58.67907125658026
