c_const,c_density,c_gamma,vcov_const,vcov_density,vcov_gamma
2.0010483,1.1648546,.82017225,.0023960613,-.0043767164,.0052563031
,,,-.0043767164,.0091798576,-.0094737373
,,,.0052563031,-.0094737373,.01200723
