run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7
1,0.0571317286709897,1,170.582961586,0,65.43721644904859,134.8139404719356,3.6706667404727806,144.93947397394052,54.17528947953301,9.072092228556151,58.674282449513896
2,0.05701670603630795,1,331.222387743,0,66.6705643209641,135.9976013409326,3.1205689200377438,91.52455116753043,66.12618895497863,4.484613662150609,59.39761211609245
3,0.056734765655829106,1,584.710209841,1,63.2934365616979,134.69803767750986,3.267686485862741,216.11007324583568,52.148315917035795,8.511473428096222,57.70427718472121
4,0.05689201030020283,1,334.562878141,0,64.20341803468631,132.89227410243657,3.5500324998694914,211.39198503713214,54.33301948212886,8.42001722513987,57.65187769240055
