run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7
1,0.0012736887584568974,1,321.698668983,1,86.93696427149295,42.34950085360916,0.033514686906606646,57.31069429907848,93.95425616217467,25.47420723855722,92.97543916500287
2,0.0012736893902381555,1,362.161061326,0,86.93192771533272,42.34971117847571,0.03171569076610505,57.309352789677234,93.97675599958853,25.474286465661265,92.97486616880758
3,0.001273688899908488,1,283.172843003,0,86.9348653474898,42.350034078876206,0.03228580745045616,57.311212305265784,93.94287395540391,25.474175732665465,92.97498409408081
4,0.0012736925689648554,1,314.761702439,0,86.91400543787675,42.35383329376098,0.02463580564010096,57.311264217551724,93.92099748810739,25.474541752787747,92.97218954289505
