run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3
1,0.08052272110142339,1,80.266121906,0,68.6150547421907,45.40677647767837,17.67069301841169
2,0.08065425765490111,1,83.913691654,0,64.0812581468724,50.01570923757394,19.891808141720908
3,0.08044716563750354,1,107.55817335,0,67.94613305877516,46.16159493502167,18.872809235543745
4,0.0804308425327336,1,90.948302173,0,69.66021552358089,45.590226764111236,17.092559080116498
5,0.08066680011790849,1,47.008465881,0,61.261333137719284,55.91168055919013,21.756799242916095
6,0.0804674562578327,1,78.620577334,0,67.21196686631166,44.41093177161574,16.841856343317748
7,0.08042917643002376,1,67.709087245,0,69.27767552935674,45.71668457080132,17.36149162864602
8,0.08065719098746127,1,60.917239537,0,64.157264712348,50.26889841396581,19.739149396978874
9,0.08049195359256663,1,65.346213815,0,70.06371637841767,45.35563370122219,18.03682687225964
10,0.08066378340012328,1,212.017838052,0,63.92262499358888,49.92477523662497,19.63429709579395
11,0.08066406354279076,1,870.07402202,0,63.86165601194543,49.88532504116311,19.6168930887664
12,0.08066648505594105,1,447.634712723,0,61.19422647378145,55.876600976923775,21.64326783857333
13,0.08051186292278896,1,77.282220811,0,68.12086942834024,45.32037288393942,19.516074383788663
14,0.08056830384192444,1,57.039032028,0,66.4966141768259,44.44639599844524,17.838590311567113
15,0.08046079102776439,1,83.169659627,0,67.95016616985647,46.24552426682911,18.824100394783965
16,0.08066592011755394,1,65.849993683,0,61.054712752392774,55.70612574263949,21.706993463446793
17,0.08049226403808211,1,98.235781532,0,69.9567514220451,45.16238811915434,18.08109686397567
18,0.08042723226068764,1,120.266032724,1,69.48973609668887,45.681420220741195,17.390728312417508
19,0.08066566174650948,1,66.5724751,0,60.9267395707654,55.57958990246582,21.67427109863983
20,0.08066702716846728,1,317.430999963,0,61.30414979249239,55.99055847683779,21.655566590123165
21,0.08065487391608916,1,80.073270429,0,64.95797433290315,50.43355666875892,20.331985985669423
22,0.08065712439452148,1,68.743826915,0,64.00053752706134,50.12882381566082,19.712605219634153
23,0.08046579731652943,1,64.159152799,0,67.77786011176315,45.28931339264409,16.701175755927203
24,0.08054038385799529,1,102.115852764,0,67.25293746237097,43.93857139527388,17.12775666485534
25,0.08066721791350838,1,100.575589169,0,61.338289442543754,56.01854319217887,21.682125208767907
26,0.08049199299479003,1,98.534257773,0,70.1289702636113,45.40599928191359,18.048123513376435
27,0.08065228128500083,1,93.563509957,0,63.995787557335966,49.54984885596509,20.1761838591172
28,0.08053113446454534,1,35.444974796,0,68.56029447275925,45.777518664696906,18.282770932130465
29,0.0806667869056068,1,112.058699078,0,61.25864568249102,55.944756625852634,21.646361988706726
30,0.08049276120927813,1,49.852338269,0,69.67027311756429,45.09556412233584,17.944460381526458
31,0.0804290332836331,1,74.530493107,0,69.89971048263169,45.78786826330551,17.215804683819645
32,0.08043151318599118,1,87.893095093,0,70.3801306014665,46.031296956783216,17.20600366776152
33,0.08050995773859296,1,58.719884613,0,67.96935941309955,45.35727164127672,19.388498989672485
34,0.08045714558712702,1,106.76786682,0,67.90949857558174,46.19389495609845,18.828234409407596
35,0.08049350819936354,1,56.567389673,0,69.54365596521674,45.05287628221207,17.891566802147636
36,0.08045147009767648,1,79.680700247,0,68.0127749375598,46.23503611877043,18.87292672916842
37,0.08056513435923647,1,81.348324933,0,67.56635108167143,44.003633741350576,19.974618815253578
38,0.08043486271842921,1,82.267663666,0,68.03907462672466,46.14388712376294,18.946670603539488
39,0.08049270880687923,1,85.724340481,0,69.69515157149046,45.09562325778916,17.95954596804447
40,0.08065237592042987,1,91.802711734,0,64.29774211324354,49.96477665149113,20.1453146122933
41,0.08065562454772014,1,102.384434509,0,63.98180482381629,50.02338196381385,19.789098657143214
42,0.0804297457592643,1,72.430908822,0,68.97859867956448,45.393852363768644,17.350952244838773
43,0.08066586486466037,1,330.222456921,0,60.91426547738169,55.54325298566082,21.745520731588062
44,0.08044663751548096,1,99.442995074,0,66.80857933226957,45.25976454684535,18.655263151613156
45,0.08066415495780285,1,1252.663052935,0,63.84511265719242,49.872053244044785,19.611745470323292
46,0.0804620193510098,1,130.771061792,0,67.94930763907853,46.25231239740213,18.819435470739254
47,0.08066301199507166,1,103.127984543,0,64.23278466408345,50.15804813717609,19.72819829347062
48,0.08065196559154285,1,89.727519805,0,64.3915150719946,49.966603444822404,20.193036193327405
49,0.08049212719963245,1,83.291138025,0,70.20766525579401,45.43708960473663,18.078232679197164
50,0.08065179458229724,1,87.483840001,0,64.2813924441578,49.83160613284004,20.206448174271195
51,0.08043576760931788,1,118.865617743,0,67.84326677262925,45.978317571355895,18.915728271988577
52,0.0806521501377349,1,71.88434475,0,64.03350701212413,49.673261051667396,20.10500436714292
53,0.08065296258612971,1,98.025997853,0,63.966900413716075,49.55457631248963,20.242053144405876
54,0.08049257653991862,1,45.802384094,0,69.96185082570418,45.09561389215357,18.12214445826159
55,0.0804922152744278,1,68.041920655,0,69.99324197237614,45.184148538704726,18.090976946741417
56,0.08049218337739528,1,90.951431158,0,69.9421760452824,45.186895523239635,18.058291410699976
57,0.08044041893374243,1,68.56861844,0,68.22407472759264,44.949219888535694,17.152472740185363
58,0.0805054449393928,1,95.096997171,0,68.08037317456741,45.66229141055334,19.273546556324078
59,0.08043668363240587,1,71.817948205,0,67.8002766388167,45.900814508780726,18.934211108467906
60,0.08043681285695697,1,101.256565204,0,67.74758256919176,45.8721081605302,18.916040585225858
61,0.08065590822624627,1,101.007939831,0,64.01909310880195,50.07752889664754,19.77675812399132
62,0.080651811222079,1,67.301833737,0,64.2247305233534,49.728760685037344,20.239596630950345
63,0.08053159358175943,1,93.024679654,0,67.97672109872886,44.84965129673948,17.302473870831914
64,0.08065770091551464,1,61.389546253,0,63.62920220666116,49.760323642508396,19.677993631474944
65,0.08065537175530478,1,65.839799275,0,64.13682723467674,50.14943891819809,19.828745634572122
66,0.08065514166615058,1,93.587113593,0,64.13956976999641,50.13524536510916,19.84403130073329
67,0.08050880760746514,1,52.384773647,0,68.05615296789134,45.4733692467822,19.375145214278074
68,0.08046045209490772,1,77.52567884,0,67.84231285382474,46.16454020777768,18.80070594344634
69,0.08067836736066215,1,73.15688656,0,61.227119330632156,54.63247305736559,21.23911286095828
70,0.08066738609355353,1,62.671835524,0,60.565031571362404,55.32473711381528,21.264062522286505
71,0.08050594911372605,1,74.874998948,0,67.9413934473924,45.6139030339209,19.208622724616355
72,0.08042908291366206,1,75.169323279,0,69.65949960654854,46.006792415631764,17.430503629442274
73,0.0804993416275624,1,96.874489158,0,68.95772104022936,44.745940770389154,17.708531819425502
74,0.08065242012891655,1,172.05505292,0,64.35380159414302,49.84556218156935,20.346113126459056
75,0.08066755051839225,1,137.087579253,0,61.34345543374196,55.955034797156024,21.895656073313226
76,0.08043438795360226,1,77.499822973,0,70.08165407635151,45.69833003135353,16.90310619611388
77,0.0804391021716446,1,83.04449887,0,68.07954237160057,46.210927574044334,18.93292812996626
78,0.08067882445050842,1,65.164434002,0,61.57974160954882,54.95341899433641,21.36340630940165
79,0.08053181628954764,1,86.904258977,0,68.177203785635,45.42008065115494,18.03447211232809
80,0.08046247241200967,1,126.545913492,0,67.95815942786501,46.26155171645667,18.81969701061016
81,0.08050893579274297,1,72.722104736,0,68.09857464698133,45.47353014111532,19.404177847798174
82,0.0805065586954355,1,58.901413216,0,68.80645434174676,44.168051327123756,17.94416285511764
83,0.08042756741753472,1,77.538503349,0,69.40580479717084,45.71334540831975,17.440021490745902
84,0.08052672627298704,1,251.215070535,0,71.68312389575372,44.43934298470544,16.80667000218327
85,0.08049219405072941,1,69.934325849,0,70.20767223770764,45.32518007520443,18.14172731446975
86,0.08051118286558627,1,31.255241195,0,70.29206105939089,44.42178168806255,18.21856511090958
87,0.08044504617239562,1,94.479707112,0,68.83476403082975,45.807504329119325,17.047872626154668
88,0.08043752512925056,1,99.242773846,0,67.59268335722435,45.7788497428578,18.868352717239354
89,0.08128943785252914,1,25.623358638,0,59.32652095827177,69.89392690394007,20.661436945642166
90,0.08065182469357453,1,82.134961756,0,64.31676950022424,49.79482503780293,20.272086489377653
91,0.08065194873780446,1,76.589515479,0,64.2211693786716,49.72746787854983,20.25930410016298
92,0.0806741170624356,1,218.054446191,0,65.86478533965038,48.13124447813362,19.885469345497906
93,0.0804383732629698,1,81.892346817,0,70.22365337091658,45.625654016310435,16.64769083093384
94,0.08043689126747684,1,94.580742555,0,67.61736894082351,45.82363627135487,18.857545877883567
95,0.08042878615706174,1,77.320891445,0,69.47264296194008,45.557336365741335,17.200320490637775
96,0.08065187976104883,1,95.230890487,0,64.14650962530942,49.69647815096357,20.193971446672084
97,0.08043830505532029,1,110.166660955,0,67.48183461797323,45.70654615128821,18.83752892932574
98,0.08045623269753353,1,92.275680647,0,67.99675713252927,46.251856769451244,18.851737809858594
99,0.08049335714394913,1,52.537682156,0,70.5542746197914,45.596699995747485,18.198861682024862
100,0.08050561505802646,1,66.145387622,0,68.02978281172275,45.64076191142601,19.25235461055094
101,0.08044081322119677,1,72.080337676,0,69.49703052786313,45.23368168381574,16.627823020498123
102,0.08043120340527837,1,67.862563495,0,69.83409051246493,45.67280372959543,17.079574985323113
103,0.08051774021090531,1,69.142110763,0,67.17919713353152,44.89483101816861,19.13573919883789
104,0.08065200917854752,1,49.743184236,0,64.38366302089392,49.85077205981827,20.30604988209336
105,0.0806665465456629,1,443.830964326,0,61.20880970159961,55.89025404595263,21.649380676529297
106,0.08065640740682313,1,65.833118714,0,63.45205500355428,49.31453580619478,19.898607515318105
107,0.08054030930497987,1,44.631332634,0,70.91275871578969,47.0743977969233,20.331252551946065
108,0.08049211002594284,1,63.378950645,0,70.20085468082826,45.44100528909153,18.07188510998252
109,0.08065233774104284,1,86.492190109,0,63.97472094112189,49.62477784414051,20.09080048694877
110,0.0805107537450312,1,37.478027042,0,67.44053506770646,46.18649906437923,16.02944836593557
111,0.08050956013780604,1,70.712253835,0,67.45471220967725,45.341153680726016,19.045667002430314
112,0.08067020219287385,1,48.991528438,0,60.081103940319906,54.71592349525299,21.54402646127549
