run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7
1,0.05593056722272229,1,316.003973569,1,49.780608781573896,78.49670548821562,-1.3161126296865997,85.05590220956316,27.410603155034398,10.960805262894745,39.30963859190008
2,0.05593224131444583,1,142.432584824,0,49.914201177649545,78.41347339403681,-1.2981783593986604,83.17833356244394,27.426974685586913,11.002630102671421,39.32685427704744
3,0.055931919253787,1,355.603145557,0,49.87729644448688,78.45770128870019,-1.309381835788867,83.55095264985817,27.455394812265073,10.975636903895788,39.33028213605092
4,0.05593237168148475,1,170.217201752,0,49.47219067884965,78.63259389184321,-1.341518736044187,85.91786614003055,27.381816731335388,11.052630107381786,39.232830397674945
