minute,pts_in,pts_out
342,163.0,85.0
343,152.0,68.0
344,135.0,87.0
345,144.0,101.0
346,154.0,105.0
347,145.0,100.0
348,177.0,101.0
349,179.0,106.0
350,174.0,96.0
351,202.0,105.0
352,214.0,106.0
353,198.0,91.0
354,189.0,102.0
355,187.0,113.0
356,193.0,103.0
357,212.0,108.0
358,226.0,112.0
359,220.0,131.0
360,253.0,114.0
361,234.0,118.0
362,206.0,152.0
363,230.0,155.0
364,253.0,149.0
365,244.0,164.0
366,267.0,155.0
367,266.0,172.0
368,259.0,162.0
369,252.0,182.0
370,263.0,160.0
371,269.0,161.0
372,262.0,190.0
373,258.0,193.0
374,275.0,180.0
375,284.0,178.0
376,287.0,198.0
377,302.0,190.0
378,287.0,206.0
379,273.0,236.0
380,274.0,236.0
381,270.0,248.0
382,267.0,237.0
383,273.0,220.0
384,272.0,230.0
385,260.0,232.0
386,258.0,246.0
387,248.0,288.0
388,272.0,273.0
389,263.0,276.0
390,287.0,285.0
391,262.0,266.0
392,274.0,285.0
393,277.0,322.0
394,245.0,327.0
395,255.0,331.0
396,304.0,325.0
397,259.0,357.0
398,300.0,301.0
399,318.0,290.0
400,306.0,280.0
401,295.0,306.0
402,290.0,279.0
403,326.0,273.0
404,330.0,274.0
405,334.0,291.0
406,335.0,282.0
407,339.0,266.0
408,320.0,296.0
409,340.0,304.0
410,339.0,321.0
411,341.0,319.0
412,360.0,319.0
413,352.0,336.0
414,362.0,308.0
415,384.0,311.0
416,354.0,337.0
417,382.0,351.0
418,362.0,390.0
419,373.0,374.0
420,382.0,374.0
421,384.0,368.0
422,344.0,384.0
423,381.0,375.0
424,409.0,387.0
425,402.0,358.0
426,384.0,360.0
427,423.0,381.0
428,404.0,407.0
429,440.0,376.0
430,447.0,394.0
431,437.0,412.0
432,452.0,419.0
433,417.0,411.0
434,465.0,407.0
435,484.0,375.0
436,470.0,385.0
437,496.0,408.0
438,468.0,363.0
439,495.0,365.0
440,489.0,374.0
441,499.0,395.0
442,494.0,352.0
443,535.0,390.0
444,529.0,392.0
445,557.0,348.0
446,535.0,343.0
447,513.0,355.0
448,517.0,383.0
449,499.0,408.0
450,507.0,419.0
451,531.0,409.0
452,558.0,418.0
453,573.0,439.0
454,544.0,463.0
455,569.0,470.0
456,568.0,464.0
457,576.0,447.0
458,610.0,389.0
459,595.0,448.0
460,594.0,466.0
461,649.0,460.0
462,681.0,524.0
463,734.0,507.0
464,786.0,508.0
465,858.0,563.0
466,788.0,567.0
467,833.0,595.0
468,804.0,610.0
469,840.0,615.0
470,854.0,600.0
471,839.0,578.0
472,878.0,560.0
473,899.0,581.0
474,931.0,584.0
475,918.0,621.0
476,863.0,589.0
477,903.0,630.0
478,949.0,642.0
479,924.0,629.0
480,965.0,628.0
481,969.0,671.0
482,1042.0,603.0
483,1031.0,635.0
484,1010.0,632.0
485,994.0,661.0
486,1064.0,650.0
487,1012.0,701.0
488,1033.0,681.0
489,1032.0,727.0
490,1034.0,705.0
491,1049.0,734.0
492,1097.0,756.0
493,1079.0,749.0
494,1158.0,753.0
495,1107.0,784.0
496,1167.0,779.0
497,1143.0,879.0
498,1226.0,877.0
499,1204.0,883.0
500,1252.0,899.0
501,1274.0,933.0
502,1329.0,1012.0
