uidp,mean_km,dist_mode,dist_mean,norm_mean,norm_sd,pk_am,inverse_income_with_pred,a,be,bl,sig,mu,idx,ha
L0424202459_EAC1,13.109288,13.499,13.499,0.0,1.0,10.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,82.9600770587682,63.76865966599851,1,11.166666666666666
L0424202459_EAC1,13.109288,13.499,13.499,0.0,1.0,10.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,82.9600770587682,63.76865966599851,1,10.5
L0424202459_EAC1,13.109288,13.499,13.499,0.0,1.0,10.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,82.9600770587682,63.76865966599851,1,10.666666666666666
L0424202459_EAC1,13.109288,13.499,13.499,0.0,1.0,10.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,82.9600770587682,63.76865966599851,1,12.666666666666666
L0424202459_EAC1,13.109288,13.499,13.499,0.0,1.0,10.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,82.9600770587682,63.76865966599851,1,11.666666666666666
L0424202459_EAC1,13.109288,13.499,13.499,0.0,1.0,10.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,82.9600770587682,63.76865966599851,1,12.0
L0424202459_EAC1,13.109288,13.499,13.499,0.0,1.0,10.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,82.9600770587682,63.76865966599851,1,11.333333333333334
L0424202459_EAC1,13.109288,13.499,13.499,0.0,1.0,10.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,82.9600770587682,63.76865966599851,1,10.25
L0424202459_EAC1,13.109288,13.499,13.499,0.0,1.0,10.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,82.9600770587682,63.76865966599851,1,10.5
L0424202459_EAC1,13.109288,13.499,13.499,0.0,1.0,10.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,82.9600770587682,63.76865966599851,1,12.166666666666666
L0303194826,4.7241011,7.963,7.9629998,-0.89488572,0.92374587,9.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,29.895734328928597,22.97985941522295,2,8.75
L0303194826,4.7241011,7.963,7.9629998,-0.89488572,0.92374587,9.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,29.895734328928597,22.97985941522295,2,8.333333333333334
L0303194826,4.7241011,7.963,7.9629998,-0.89488572,0.92374587,9.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,29.895734328928597,22.97985941522295,2,10.416666666666666
L0303194826,4.7241011,7.963,7.9629998,-0.89488572,0.92374587,9.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,29.895734328928597,22.97985941522295,2,8.75
L0303194826,4.7241011,7.963,7.9629998,-0.89488572,0.92374587,9.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,29.895734328928597,22.97985941522295,2,10.583333333333334
L0303194826,4.7241011,7.963,7.9629998,-0.89488572,0.92374587,9.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,29.895734328928597,22.97985941522295,2,8.916666666666666
L0303194826,4.7241011,7.963,7.9629998,-0.89488572,0.92374587,9.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,29.895734328928597,22.97985941522295,2,10.25
L0303194826,4.7241011,7.963,7.9629998,-0.89488572,0.92374587,9.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,29.895734328928597,22.97985941522295,2,11.083333333333334
L0303194826,4.7241011,7.963,7.9629998,-0.89488572,0.92374587,9.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,29.895734328928597,22.97985941522295,2,9.666666666666666
L0303194826,4.7241011,7.963,7.9629998,-0.89488572,0.92374587,9.5,3.3980434,453.9163270915541,630.0350552861009,369.422981457677,29.895734328928597,22.97985941522295,2,7.75
L0428162106_EA0F,23.179956,28.141,25.825653,-0.9894442,0.23983185,9.833333,0.28358495,453.9163270915541,630.0350552861009,369.422981457677,146.69072309486654,112.7562934948733,3,9.916666666666666
L0428162106_EA0F,23.179956,28.141,25.825653,-0.9894442,0.23983185,9.833333,0.28358495,453.9163270915541,630.0350552861009,369.422981457677,146.69072309486654,112.7562934948733,3,10.0
L0428162106_EA0F,23.179956,28.141,25.825653,-0.9894442,0.23983185,9.833333,0.28358495,453.9163270915541,630.0350552861009,369.422981457677,146.69072309486654,112.7562934948733,3,10.0
L0428162106_EA0F,23.179956,28.141,25.825653,-0.9894442,0.23983185,9.833333,0.28358495,453.9163270915541,630.0350552861009,369.422981457677,146.69072309486654,112.7562934948733,3,9.916666666666666
L0428162106_EA0F,23.179956,28.141,25.825653,-0.9894442,0.23983185,9.833333,0.28358495,453.9163270915541,630.0350552861009,369.422981457677,146.69072309486654,112.7562934948733,3,9.916666666666666
L0428162106_EA0F,23.179956,28.141,25.825653,-0.9894442,0.23983185,9.833333,0.28358495,453.9163270915541,630.0350552861009,369.422981457677,146.69072309486654,112.7562934948733,3,9.916666666666666
