run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
1,0.08231034450674167,1,1154.60192116,0,103.96894195097076,96.89712160762122,84.63642157402249,11.256998348922032,75.7718365753293,49.865584851844446,21.341794301475687,59.6215379374549
2,0.08231080189624809,1,1175.108370496,0,104.7042734054639,96.88510795644869,84.35950602698124,11.353261945621306,75.8338306912068,49.819393494290026,21.545263748153275,59.74907196390237
3,0.08242731591476991,1,365.99633473,0,105.59899894183611,96.45966054374604,81.88836866323417,10.357906021793262,78.56961672369266,48.15287987480787,20.955548247825575,60.027293808062886
4,0.08231033426038627,1,1734.577092398,0,103.60738390812227,96.81767377257538,84.61540128837802,11.213019114703929,75.77841050543394,49.78582984332424,21.439351890355898,59.58913363473081
5,0.08242979250081149,1,544.20250685,0,103.86722450584583,96.49515667011178,82.19955343612504,10.114703476712336,78.3875799725034,48.03255855788292,20.99264647259164,59.63127416052648
6,0.08231021837386397,1,1460.896867892,0,102.66278098103041,96.89330128234111,84.9979820836983,11.173676012784401,75.68580395126013,49.75087635605064,21.42566428547396,59.25056846237222
7,0.08231081998688718,1,1843.133334488,0,104.59629835486875,96.80925990190065,84.35618023413697,11.33797721144139,75.85095589648441,49.82400847597817,21.454519490547234,59.84262449539768
8,0.0823106669126989,1,1288.712528512,0,104.37724052350781,96.80817611005129,84.36460660576199,11.301921369023628,75.82611665871696,49.81119858610015,21.44919544892875,59.7598940831829
9,0.08231042761056119,1,2306.910002549,0,103.98444462786861,96.81527076436524,84.52604272639623,11.263321978194684,75.7920832393639,49.80315356873872,21.44632321573045,59.69041810842221
10,0.08231038460110315,1,1195.441736452,0,103.85625784596158,96.81524241524822,84.54509323230451,11.24413886870292,75.7918762468377,49.79242415588966,21.441850497409582,59.64994306365758
11,0.0822937553382754,0,7243.537495075,0,103.98760777211169,96.70313822625386,84.23855729536542,11.250946072515273,75.81445195068437,49.75237888840883,21.611983308325815,59.528602295620985
12,0.0823103989717511,1,2260.744561777,0,103.41555629510584,96.81487556033296,84.57513510746617,11.188366143032031,75.7521619637241,49.77924870244194,21.43680804899425,59.476750884107524
13,0.08243165710945424,1,288.875240488,0,103.02684457838225,93.4368100323686,82.54250989444394,8.97432175459687,74.75715573952819,49.584772287095284,21.381253621976416,59.35273853052503
14,0.08252669632910757,1,283.141260172,0,101.4022799898956,96.18454337174734,82.5942688555459,9.517497753914217,78.84110663364552,47.297240715214784,17.698989905455605,58.97530000093973
