run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
1,0.06666955797356969,1,235.114248816,0,103.17001364152851,87.4069265491013,80.42093433088623,-1.0259040025102142,90.40681210776029,57.98792783437409,21.057722493153836,58.475539496472976
2,0.0667429561413038,1,319.269389042,0,103.13901941362933,87.78701494358631,80.40711146290167,-1.1033650259904548,90.96310582285047,60.16037114781473,20.16385833368402,58.475338340828905
3,0.06669496371484403,1,378.644431188,0,103.68949195869124,87.52754229500069,80.39207389175074,0.19858151661952617,92.81847164831062,57.52280982050067,21.050030491912235,58.35078116139018
4,0.06669377525460182,1,333.010277877,0,103.9973649220952,87.40107025429651,80.34453333512616,-0.9568709844807783,87.58532576494781,60.78747640079069,19.553966207798705,58.70852369327831
5,0.06667780940612848,1,910.740703641,0,104.41532239308557,88.26502517710117,79.37932131372649,-0.5699738531242337,93.52596071131127,57.6115239844178,20.03172997694024,58.2956489620278
6,0.066672288754651,1,368.910649635,0,103.74643085703983,88.40520712587794,79.8378362002417,-0.2319790483228973,92.33337622049069,58.901135600734335,20.79625148106225,58.38364022827712
7,0.06668875235669457,1,643.861461774,0,108.68789213066893,88.19615676071678,78.17086849176835,-0.21595403638497296,82.24604604580193,59.35958452078242,21.11048175603451,58.901650509532246
8,0.06668293202394597,1,538.860816327,0,103.45972086562291,87.81582562518949,79.82726011129816,-0.9540050087232405,89.67951227109556,58.20754118390505,22.016945755860874,58.451745283716
9,0.06673101056689734,1,373.195994992,0,104.28498806275485,88.20406969502727,79.74480796281004,-1.2991630750264984,89.8367985429448,58.66561476933791,20.51044232138311,58.62814257468999
10,0.06666630276618216,1,351.729648137,0,105.72991489265695,88.19273540341214,79.18703987951247,-0.7587163995159334,90.42761749054375,57.99294501236949,20.80443267464425,58.72125054469562
11,0.0667529054273656,1,324.331632815,0,103.76837409543411,87.53108299498602,80.32543273319956,-1.178137822079655,89.41782358928971,58.59912311597565,18.41007307648361,58.66212548937882
12,0.06668809438414554,1,494.342764938,0,103.74198742697823,87.22398326196452,80.31425824038938,-1.5038715088387034,85.90423111070366,59.926136571552505,19.704369361627318,58.60975598965167
13,0.06673100691141248,1,476.665260362,0,104.27413630186412,88.19049875373241,79.75509576819627,-1.3003636224435071,89.81098113189495,58.64943694637179,20.578057975489944,58.62679004077861
14,0.06826882308119472,1,459.380076554,0,109.85662788007618,89.25090293747856,76.97292099561699,-1.5972684667843013,67.09100726488178,425.6908679566483,13.891889203824666,59.043454488853314
15,0.06669142255020927,1,649.675172094,0,102.08493164835686,87.86335318335244,80.54510089391731,-1.6870646539388023,86.02446163733048,59.8759475636014,19.810287503952605,58.389041441603005
16,0.06673100551111276,1,492.607210662,0,104.29301224317706,88.20748170327279,79.74098278927777,-1.296360331368718,89.85312187962273,58.66045851813643,20.575571903735355,58.627670371418176
17,0.06668584148616767,1,842.086406796,0,103.49632982486773,87.6749876817684,80.08432112717156,-1.6310740751052033,85.71124448212763,59.85781561269539,18.86269666961589,58.59349405002502
18,0.06673101207563532,1,332.826651485,0,104.29028333371367,88.2065617009487,79.74209440818197,-1.2992383312096416,89.88589651021668,58.657754871876854,20.50309753023353,58.62847959880286
19,0.06673420545538135,1,311.92386116,0,104.3607989972487,87.73710298276404,80.19314207325341,-0.6847770742375583,89.34084442120404,54.82317546071115,20.248731884502167,58.58680228683515
20,0.06674449017273511,1,261.243250872,0,102.96294225527048,84.6813315410861,81.59183956669175,-0.6555285141091134,88.0107299272002,55.61055295633698,19.328790468323835,58.0536499795632
21,0.06668654914054357,1,478.296472945,0,104.48198827409598,88.0045200622664,79.66555409115509,-1.3468889564745177,85.73281236520467,59.985356408589084,19.838762884499594,58.672926501042134
22,0.06667203780328461,1,562.064035677,0,105.01952564208585,89.4522014977038,79.36390718212836,-0.26777385029741624,82.58336433343358,59.69369097798161,21.44835398636956,58.81995279543392
23,0.06670888051870982,1,404.109035282,0,101.25413686768188,87.11983320245554,81.13019849231362,-1.68444435273865,86.75444948190339,60.98063236925628,17.30703721237685,58.341154895399555
24,0.06668760410762892,1,424.99019959,0,103.60201484440998,87.84218336765136,80.01745909861171,-1.560766084691795,85.44964360022074,59.532730245214644,19.84748536078629,58.58480331542906
25,0.06670565851571682,1,562.272207652,0,101.3022779874769,84.12503210896364,82.35984004560385,-2.370793090322514,81.68708137651846,60.2085408483435,20.705356602675437,58.37060639619067
26,0.0667002683389002,1,254.511413206,0,101.0084218853659,86.67913156087462,81.31183523319346,-2.0592682937535445,85.18038370301642,59.72270146305799,19.93968807862464,58.27623959593254
27,0.06668664874199391,1,811.047772665,0,104.06701519356695,87.85185311956941,79.89858670883224,-1.4031860204693114,85.99862664709774,59.85070116958478,19.681038024679957,58.63927607198358
28,0.06673522793572542,1,207.046527253,0,104.13883388346011,88.16424200156904,79.77211354203747,-1.4234672003227091,90.16319315560992,58.59649449018067,19.288160223630587,58.61194170744948
29,0.06666030094812428,1,254.671232799,1,103.77136988175967,88.25439679731713,79.89827403584066,-1.3165754735065955,91.3904521707213,58.36659542492466,20.516010692792495,58.55743391980637
30,0.06668652085196741,1,484.777296886,0,102.94930688907901,87.77463275541957,80.10881571626244,-1.8162370190553598,85.73034982349212,59.91878205229742,18.707767572984682,58.51411287993206
31,0.06673101382328155,1,584.33043516,0,104.25441921234392,88.20505128407491,79.75278611393416,-1.3085538556242418,89.85288117296916,58.63905112636667,20.49807800710269,58.6242976026303
