run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7
1,0.07028811142954115,1,267.716994547,0,42.3379519455591,80.88763887226425,1.3770854307324456,49.9334308011294,18.748653266557326,32.056250163878374,77.39139617044835
2,0.07028811142826857,1,494.864299157,1,42.33796490822547,80.88762569673995,1.3770881870365275,49.93326223618444,18.74867299160377,32.05614447518981,77.39140030731612
3,0.070288111428683,1,217.387726523,0,42.33786710155864,80.88773010473379,1.3770857130936573,49.93334269482428,18.748686468400457,32.056045290568036,77.39134589743786
4,0.07028811142963204,1,287.678991245,0,42.33793240141219,80.88766326931882,1.377086318708563,49.93346928158203,18.748638992807965,32.05632527598687,77.39138538155807
